"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.025724668,0.082149766,-0.022511924,-0.069989219,0.063157387,-0.040148545,0.049852245,0.072813235,0.086691432,-0.026275236,0.06757912,0.06750536,0.11409767,-0.029938221,0.048496567,0.026044626,0.021676973,0.071405649,-0.014404596,-0.025222877,-0.034173295,-0.025724668,-0.042981692,0.096073598,-0.059519779,0.173954457,0.004973227,-0.037426654,-0.034173295,0.044111729,0.016787546,0.051273394,-0.004847988,0.004388623,0.021676973,0.005108315,-0.007619593,0.038520195,0.097492933,-0.002365378,0.022221347,-0.040257804,-0.092844382,-0.009277191,-0.030933488,0.073223971,0.029435344
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",-0.04347999,0.017721601,-0.036387891,-0.063713044,0.074800976,0.112439185,0.055250343,0.129813254,0.083831817,0.054334406,0.124480993,0.074261755,0.045110531,-0.009845207,0.051115625,0.07868208,0.067170821,0.050265044,-0.047795452,-0.017062537,-0.000159563,-0.04347999,-0.044014808,0.147675157,-0.040597692,0.180742294,0.026359705,0.040119566,-0.000159563,0.024385514,-0.021119,0.051241867,-0.041404855,0.070074715,0.067170821,0.069770977,-0.018729623,0.091563255,0.009495463,0.007304905,-0.013764851,-0.028487768,0.052497957,0.049308471,-0.001891721,0.040787663,0.039265763
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.839756012,0.836910307,0.825295508,0.837830186,0.871381521,0.897225261,0.850228548,0.885420799,0.859271586,0.844364464,0.837157607,0.900857091,0.910859346,0.843510807,0.883773446,0.904591918,0.888537049,0.874096215,0.911789358,0.884990096,0.844761491,0.839756012,0.849577129,0.889677405,0.879922926,0.909320891,0.874443114,0.875609875,0.844761491,0.833767653,0.839655221,0.841798186,0.879435122,0.841439247,0.888537049,0.88400805,0.887899578,0.88978529,0.836523473,0.890371978,0.862251163,0.885973632,0.892123818,0.882196486,0.88341558,0.87400949,0.892877162
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",0.45710802,0.43493766,0.4538232,0.34709033,0.38889527,0.36620435,0.3830068,0.2611012,0.31314012,0.37932453,0.33161455,0.27501765,0.30037796,0.31943494,0.33956173,0.32205522,0.38578615,0.4054492,0.35618275,0.24375574,0.41529456,0.45710802,0.33590558,0.29135835,0.3125051,0.4324277,0.37649783,0.3457105,0.41529456,0.31899473,0.4474584,0.41829345,0.30295244,0.40837502,0.38578615,0.24403803,0.33921123,0.348847,0.3096435,0.26077318,0.33019972,0.34276253,0.26643482,0.35668382,0.33534077,0.40374196,0.24852614
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
